episode,reward,moves,success
430,-2980.814791,19,0
431,-982,19,0
432,13,23,1
433,-3001.814791,40,0
434,-987,24,0
435,-2006,44,0
436,-1,37,0
437,-3991,31,0
438,-2982,21,0
439,-3030,69,0
440,-2998.532736,34,0
441,8,28,1
442,-1020,57,0
443,-2029,67,0
444,-4019,59,0
445,-1001,38,0
446,-3003,42,0
447,-2982,23,0
448,-987,24,0
449,20,16,1
450,-4036,76,0
451,-1978,16,0
452,-991,28,0
453,-1996,34,0
454,-1980,18,0
455,-1996,34,0
456,-1049.463048,86,0
457,-24,60,0
458,-2003,41,0
459,-1984.463048,22,0
460,-982,19,0
461,11,25,1
462,-1003,40,0
463,-3995,35,0
464,-978,15,0
465,-2986,25,0
466,-14.07168125,49,0
467,-985,22,0
468,-2987.071681,25,0
469,-982,19,0
470,18,18,1
471,-3994,34,0
472,-5029,70,0
473,-2989,28,0
474,-1019.463048,56,0
475,4,32,1
476,-1980,18,0
477,-1985.709787,22,0
478,-985,22,0
479,-989,26,0
480,-1987,25,0
481,16,20,1
482,-986,23,0
483,-2023,61,0
484,-4017.532736,54,0
485,-982,19,0
486,-980,17,0
487,-998,35,0
488,-2994,33,0
489,-978,15,0
490,15,21,1
491,-2011,49,0
492,-2997,36,0
493,-2007.610877,45,0
494,-991,28,0
495,-3987,27,0
496,-2993.780895,31,0
497,-987,24,0
498,-1016,53,0
499,15.1852092,20,1
500,18,18,1
501,-984,21,0
502,-7007.532736,47,0
503,-1001,38,0
504,-981,18,0
505,-978,15,0
506,13,23,1
507,15,21,1
508,-987.4630476,24,0
509,13,23,1
510,13,23,1
511,-3994,34,0
512,-985,22,0
513,-1001,38,0
514,-1000,37,0
515,-27021.53473,83,0
516,-2003,41,0
517,-2007,45,0
518,-1210,47,0
519,-1023,60,0
520,-1982,20,0
521,-2012,50,0
522,-1,37,0
523,-2988.071681,24,0
524,-984,21,0
525,-1017,54,0
526,-10,46,0
527,-3012,51,0
528,-993,28,0
529,-2020,58,0
530,-1987,25,0
531,14,22,1
532,-993,30,0
533,-3028.886472,66,0
534,-992,29,0
535,13,23,1
536,-3990,30,0
537,-3371,64,0
538,-2002.610877,40,0
539,-990.532736,26,0
540,-979,16,0
541,-4015,55,0
542,-3006,41,0
543,-1013,50,0
544,-984,21,0
545,-2043,79,0
546,-3,39,0
547,-0.532735988,33,0
548,-990,27,0
549,-1988,26,0
550,-1987,25,0
551,-986.0716813,22,0
552,-997.0716813,31,0
553,9,27,1
554,-983,20,0
555,-1994,34,0
556,18,18,1
557,-1997,35,0
558,-990,27,0
559,-983,20,0
560,-3998.463048,40,0
561,11,25,1
562,-1997,35,0
563,18,18,1
564,-1994,32,0
565,-4036,76,0
566,-3023,62,0
567,17,19,1
568,-2041,79,0
569,-4013,51,0
570,-988,23,0
571,18.5369524,17,1
572,-996.6108769,33,0
573,-1993,31,0
574,5,31,1
575,14,22,1
576,14,22,1
577,6.290213401,28,1
578,-3002,41,0
579,-1978,16,0
580,-1988,22,0
581,-3008.532736,46,0
582,11,25,1
583,9,27,1
584,15,21,1
585,10.1852092,25,1
586,-1997,33,0
587,-1994,30,0
588,-1015,52,0
589,-1990,26,0
590,-998,35,0
591,15,21,1
592,10.5369524,25,1
593,-979.0716813,15,0
594,14.2902134,20,1
595,-982,19,0
596,-1011,48,0
597,18,18,1
598,-995,32,0
599,-2995.532736,27,0
600,-2984,23,0
601,2,34,1
602,-1990,28,0
603,12,24,1
604,-1990,28,0
605,-978,15,0
606,17,19,1
607,19,17,1
608,-1016,53,0
609,-2012,50,0
610,-2006,44,0
611,4,32,1
612,-3980,20,0
613,-1030,67,0
614,2.290213401,32,1
615,19,17,1
616,-32.4630476,68,0
617,-993,30,0
618,-1004,41,0
619,17,19,1
620,-3033,70,0
621,-1995.814791,33,0
622,-993,26,0
623,-3,39,0
624,5.219105093,29,1
625,-3024,63,0
626,-985,22,0
627,17,19,1
628,-17,53,0
629,-1026,63,0
630,14,22,1
631,-2994.814791,33,0
632,16,20,1
633,-986,21,0
634,-15,51,0
635,-2021.187067,45,0
636,-998.065472,32,0
637,1,35,1
638,-4009,45,0
639,-996,33,0
640,17,19,1
641,19,17,1
642,-1008,45,0
643,-978,15,0
644,7,29,1
645,-999,36,0
646,-6,42,0
647,13,23,1
648,-980,17,0
649,15,21,1
650,-14060.8432,101,0
651,-1013.709787,49,0
652,-983,20,0
653,-10020,62,0
654,-990,27,0
655,-34,70,0
656,-1989,27,0
657,-1987.780895,24,0
658,-994,33,0
659,-10,46,0
660,-2996,33,0
