episode,reward,moves,success
502,-3995.0,35,0
503,-1994.0,32,0
504,-2992.0,31,0
505,-986.0716812500891,22,0
506,-1981.0,19,0
507,-2982.7097865986966,20,0
508,-3998.0,38,0
509,-1998.0,36,0
510,-2992.0,31,0
511,-2000.0,38,0
512,-2000.0,38,0
513,-1994.0,32,0
514,-3002.0,41,0
515,-1994.0,32,0
516,-1994.0,32,0
517,-3004.0,43,0
518,-992.0,29,0
519,-1989.0,27,0
520,-2987.0,26,0
521,-2983.0,22,0
522,-980.0,17,0
523,-1260.048998682201,21,0
524,-2329.81479080473,23,0
525,-1258.048998682201,19,0
526,-1331.0,24,0
527,-1286.0,27,0
528,-1258.048998682201,19,0
529,-982.0,19,0
530,-985.0,22,0
531,-1992.0,30,0
532,-992.0,29,0
533,-2981.0,20,0
534,-1167.2132015733205,22,0
535,-1994.0,32,0
536,-1336.0,29,0
537,-2278.0,20,0
538,-1328.0,21,0
539,-1184.0,21,0
540,-1330.81479080473,23,0
541,-2981.0,20,0
542,-1333.0,26,0
543,-1182.0,19,0
544,-2182.0,20,0
545,-1334.0,27,0
546,-2261.0489986822013,23,0
547,-2258.0489986822013,20,0
548,-1262.048998682201,23,0
549,-981.0,18,0
550,-1280.0,21,0
551,-1980.6108769035025,18,0
552,-1330.0,23,0
553,-1326.0,19,0
554,-983.6108769035025,20,0
555,-3278.0,21,0
556,-1327.0,20,0
557,-4982.0,23,0
558,-1280.0,21,0
559,-1278.0,19,0
560,-980.0,17,0
561,-1280.0,21,0
562,-1262.048998682201,23,0
563,-3214.858153737345,27,0
564,-1278.0,19,0
565,-983.0,20,0
566,-1250.81479080473,39,0
567,-993.0,30,0
568,-2327.0,21,0
569,-1262.048998682201,23,0
570,-23986.0,46,0
571,-2983.0,22,0
572,-1983.81479080473,21,0
573,-981.0,18,0
574,-983.0,20,0
575,-980.0,17,0
576,-1993.0,31,0
577,-987.0,24,0
578,-994.0,31,0
579,-1994.0,32,0
580,-992.0,29,0
581,-3993.0,33,0
582,-1998.0,36,0
583,-996.0,33,0
584,-1994.0,32,0
585,-2001.7097865986966,38,0
586,-993.0,30,0
587,-1996.0,34,0
588,-995.0,32,0
589,-991.0,28,0
590,-1996.0,34,0
591,-1992.0,30,0
592,-996.0,33,0
593,-994.0,31,0
594,-1990.81479080473,28,0
595,-996.463047595174,33,0
596,-2992.0,31,0
597,-2002.0,40,0
598,-994.8147908047299,31,0
599,-2009.0,47,0
600,-1994.0,32,0
601,-994.0,31,0
602,-993.0,30,0
603,-990.0,27,0
604,-2994.0,33,0
605,-1990.0,28,0
606,-998.0,35,0
607,-1989.0,27,0
608,-1995.0716812500891,32,0
609,-2990.0,29,0
610,-994.0,31,0
611,-992.0,29,0
612,-990.0,27,0
613,-1994.0,32,0
614,-1000.0,37,0
615,-996.0,33,0
616,-990.0,27,0
617,-1996.0,34,0
618,-994.0,31,0
619,-1992.0,30,0
620,-1991.0,29,0
621,-1992.0,30,0
622,-1990.0,28,0
623,-1992.0,30,0
624,-992.0,29,0
625,-990.0,27,0
626,-1994.0,32,0
627,-994.0,31,0
628,-1994.0,32,0
629,-992.0,29,0
630,-1996.0,34,0
631,-1000.0,37,0
632,-989.0,26,0
633,-1990.0,28,0
634,-2994.0,33,0
635,-996.0,33,0
636,-994.0,31,0
637,-993.7097865986967,29,0
638,-996.0,33,0
639,-2994.0,33,0
640,-1992.0,30,0
641,-1994.0,32,0
642,-1994.0,32,0
643,-1994.0,32,0
644,-1994.0,32,0
645,-1991.7097865986966,28,0
646,-992.0,29,0
647,-990.0,27,0
648,-992.0,29,0
649,-992.0,29,0
650,-1990.0,28,0
651,-992.0,29,0
652,-1989.0,27,0
653,-2994.0,33,0
654,-1990.0,28,0
655,-1990.0,28,0
656,-3992.0,32,0
657,-990.0,27,0
658,-993.0,30,0
659,-1991.0,29,0
660,-1992.0,30,0
661,-1980.0,18,0
662,-1990.0,28,0
663,-1994.0,32,0
664,-994.0,31,0
665,-1996.0,34,0
666,-990.0,27,0
667,-992.0,29,0
668,-1994.0,32,0
669,-1998.0,36,0
670,-992.0,29,0
671,-2994.0,33,0
672,-992.0,29,0
673,-1992.0,30,0
674,-991.0,28,0
675,-992.0,29,0
676,-992.0,29,0
677,-994.0,31,0
678,-992.0,29,0
679,-2990.0,29,0
680,-990.0,27,0
681,-994.0,31,0
682,-994.0,31,0
683,-1994.532735987915,31,0
684,-992.0,29,0
685,-989.0,26,0
686,-990.0,27,0
687,-1990.0,28,0
688,-994.0,31,0
689,-1996.0,34,0
690,-1992.0,30,0
691,-1990.0,28,0
692,-1992.0,30,0
693,-990.0,27,0
694,-996.0,33,0
695,-990.0,27,0
696,-998.0,35,0
697,-987.0,24,0
698,-990.0,27,0
699,-1993.0,31,0
700,-1990.0,28,0
701,-992.0,29,0
702,-989.0,26,0
703,-994.0,31,0
704,-993.7097865986967,29,0
705,-987.0,24,0
706,-1990.0,28,0
707,-1990.0,28,0
708,-2996.0,35,0
709,-2990.0,29,0
710,-996.0,33,0
711,-2989.463047595174,28,0
712,-2992.0,31,0
713,-2992.0,31,0
714,-993.0716812500891,29,0
715,-997.0,34,0
716,-990.0,27,0
717,-1992.0,30,0
718,-1998.0,36,0
719,-992.463047595174,29,0
720,-987.0,24,0
721,-1992.0,30,0
722,-1992.0,30,0
723,-994.0,31,0
724,-992.0,29,0
725,-1992.0,30,0
726,-996.0,33,0
727,-1992.0,30,0
728,-990.0,27,0
729,-1992.0,30,0
730,-2990.0,29,0
731,-1992.0,30,0
732,-1992.0,30,0
733,-1992.0,30,0
734,-994.0,31,0
735,-988.0,25,0
736,-990.463047595174,27,0
737,-2990.0,29,0
738,-1992.0,30,0
739,-991.0,28,0
740,-994.0,31,0
741,-994.0,31,0
742,-1990.0,28,0
743,-992.0,29,0
744,-996.0,33,0
745,-1980.0,18,0
746,-1989.0,27,0
747,-1990.0,28,0
748,-996.0,33,0
749,-990.0,27,0
750,-1992.0,30,0
751,-990.0,27,0
752,-992.0,29,0
753,-992.0,29,0
754,-992.0,29,0
755,-990.0,27,0
756,-991.0716812500891,27,0
757,-991.0,28,0
758,-992.0,29,0
759,-990.0,27,0
760,-994.0,31,0
761,-1990.0,28,0
762,-1992.0,30,0
763,-990.0,27,0
764,-994.0,31,0
765,-990.0,27,0
766,-993.7097865986967,29,0
767,-992.0,29,0
768,-981.0,18,0
769,-981.0,18,0
770,-2991.0,30,0
771,-990.0,27,0
772,-1991.534728845263,28,0
773,-1277.7097865986966,17,0
774,-1983.0,21,0
775,-1256.048998682201,17,0
776,-2983.0,22,0
777,-3325.0,20,0
778,-1326.463047595174,19,0
779,-1328.0,21,0
780,-1276.463047595174,17,0
781,-1312.5438051430692,19,0
782,-981.0716812500891,19,0
783,-2276.0,18,0
784,-982.7097865986967,18,0
785,-1992.0,30,0
786,-992.0,29,0
787,-990.0,27,0
788,-989.0,26,0
789,-994.0,31,0
790,-994.0,31,0
791,-992.9581533049081,27,0
792,-990.0,27,0
793,-991.0716812500891,27,0
794,-990.0,27,0
795,-1993.0,27,0
796,-1990.0,28,0
797,-3991.1728341938706,29,0
798,-1991.0716812500891,28,0
799,-994.0,31,0
800,-1992.0,30,0
801,-990.0,27,0
802,-992.0,29,0
803,-1992.0,30,0
804,-990.0,27,0
805,-1992.0,30,0
806,-2990.81479080473,29,0
807,-995.8147908047299,32,0
808,-1990.0,28,0
809,-1990.0,28,0
810,-1993.463047595174,29,0
